_id,date,center_name,attendance_count
26577830,2023-02-01,Ammon Community Center,7
26577831,2023-02-01,Arlington Community Center,21
26577832,2023-02-01,Brookline Community Center,35
26577833,2023-02-01,Magee Community Center,46
26577834,2023-02-01,Ormsby Community Center,13
26577835,2023-02-01,Paulson Community Center,19
26577836,2023-02-01,West Penn Community Center,48
26577837,2023-01-31,Warrington Community Center,45
26577838,2023-01-31,Phillips Community Center,44
26577839,2023-01-31,Arlington Community Center,51
26577840,2023-01-31,Ammon Community Center,10
26577841,2023-01-31,Brookline Community Center,43
26577842,2023-01-31,Magee Community Center,42
26577843,2023-01-31,Paulson Community Center,14
26577844,2023-01-31,Ormsby Community Center,12
26577845,2023-01-31,West Penn Community Center,151
26577846,2023-01-30,Phillips Community Center,45
26577847,2023-01-30,Warrington Community Center,31
26577848,2023-01-30,Ammon Community Center,7
26577849,2023-01-30,Arlington Community Center,12
26577850,2023-01-30,Brookline Community Center,37
26577851,2023-01-30,Magee Community Center,73
26577852,2023-01-30,Ormsby Community Center,20
26577853,2023-01-30,Paulson Community Center,21
26577854,2023-01-30,West Penn Community Center,96
26577855,2023-01-28,Phillips Community Center,5
26577856,2023-01-28,West Penn Community Center,107
26577857,2023-01-27,Phillips Community Center,26
26577858,2023-01-27,Warrington Community Center,72
26577859,2023-01-27,Arlington Community Center,23
26577860,2023-01-27,Brookline Community Center,47
26577861,2023-01-27,Magee Community Center,70
26577862,2023-01-27,Paulson Community Center,21
26577863,2023-01-27,Ormsby Community Center,9
26577864,2023-01-27,West Penn Community Center,82
26577865,2023-01-26,Warrington Community Center,77
26577866,2023-01-26,Phillips Community Center,24
26577867,2023-01-26,Arlington Community Center,11
26577868,2023-01-26,Ammon Community Center,6
26577869,2023-01-26,Brookline Community Center,59
26577870,2023-01-26,Magee Community Center,50
26577871,2023-01-26,Ormsby Community Center,11
26577872,2023-01-26,Paulson Community Center,19
26577873,2023-01-26,West Penn Community Center,101
26577874,2023-01-25,Phillips Community Center,35
26577875,2023-01-25,Warrington Community Center,46
26577876,2023-01-25,Ammon Community Center,2
26577877,2023-01-25,Arlington Community Center,38
26577878,2023-01-25,Brookline Community Center,19
26577879,2023-01-25,Magee Community Center,29
26577880,2023-01-25,Paulson Community Center,11
26577881,2023-01-25,Ormsby Community Center,13
26577882,2023-01-25,West Penn Community Center,40
26577883,2023-01-24,Warrington Community Center,51
26577884,2023-01-24,Phillips Community Center,28
26577885,2023-01-24,Arlington Community Center,5
26577886,2023-01-24,Ammon Community Center,4
26577887,2023-01-24,Brookline Community Center,45
26577888,2023-01-24,Magee Community Center,64
26577889,2023-01-24,Ormsby Community Center,16
26577890,2023-01-24,Paulson Community Center,18
26577891,2023-01-24,West Penn Community Center,137
26577892,2023-01-23,Phillips Community Center,21
26577893,2023-01-23,Warrington Community Center,51
26577894,2023-01-23,Ammon Community Center,1
26577895,2023-01-23,Arlington Community Center,9
26577896,2023-01-23,Brookline Community Center,27
26577897,2023-01-23,Magee Community Center,45
26577898,2023-01-23,Ormsby Community Center,9
26577899,2023-01-23,West Penn Community Center,204
26577900,2023-01-21,Phillips Community Center,3
26577901,2023-01-21,West Penn Community Center,85
26577902,2023-01-20,Phillips Community Center,14
26577903,2023-01-20,Warrington Community Center,46
26577904,2023-01-20,Arlington Community Center,18
26577905,2023-01-20,Ammon Community Center,2
26577906,2023-01-20,Brookline Community Center,52
26577907,2023-01-20,Magee Community Center,51
26577908,2023-01-20,Ormsby Community Center,8
26577909,2023-01-20,Paulson Community Center,14
26577910,2023-01-20,West Penn Community Center,72
26577911,2023-01-19,Warrington Community Center,63
26577912,2023-01-19,Phillips Community Center,33
26577913,2023-01-19,Ammon Community Center,3
26577914,2023-01-19,Arlington Community Center,14
26577915,2023-01-19,Brookline Community Center,51
26577916,2023-01-19,Magee Community Center,47
26577917,2023-01-19,Paulson Community Center,16
26577918,2023-01-19,Ormsby Community Center,9
26577919,2023-01-19,West Penn Community Center,137
26577920,2023-01-18,Phillips Community Center,44
26577921,2023-01-18,Warrington Community Center,45
26577922,2023-01-18,Arlington Community Center,56
26577923,2023-01-18,Ammon Community Center,7
26577924,2023-01-18,Brookline Community Center,22
26577925,2023-01-18,Magee Community Center,47
26577926,2023-01-18,Ormsby Community Center,16
26577927,2023-01-18,Paulson Community Center,15
26577928,2023-01-18,West Penn Community Center,56
26577929,2023-01-17,Warrington Community Center,44
26577930,2023-01-17,Phillips Community Center,32
26577931,2023-01-17,Ammon Community Center,7
26577932,2023-01-17,Arlington Community Center,14
26577933,2023-01-17,Brookline Community Center,41
26577934,2023-01-17,Magee Community Center,50
26577935,2023-01-17,Paulson Community Center,18
26577936,2023-01-17,Ormsby Community Center,12
26577937,2023-01-17,West Penn Community Center,153
26577938,2023-01-14,West Penn Community Center,33
26577939,2023-01-13,Phillips Community Center,21
26577940,2023-01-13,Warrington Community Center,31
26577941,2023-01-13,Brookline Community Center,27
26577942,2023-01-13,Magee Community Center,66
26577943,2023-01-13,Ormsby Community Center,18
26577944,2023-01-13,Paulson Community Center,11
26577945,2023-01-13,West Penn Community Center,57
26577946,2023-01-12,Warrington Community Center,39
26577947,2023-01-12,Phillips Community Center,20
26577948,2023-01-12,Arlington Community Center,7
26577949,2023-01-12,Brookline Community Center,47
26577950,2023-01-12,Magee Community Center,44
26577951,2023-01-12,Paulson Community Center,12
26577952,2023-01-12,Ormsby Community Center,18
26577953,2023-01-12,West Penn Community Center,121
26577954,2023-01-11,Phillips Community Center,42
26577955,2023-01-11,Warrington Community Center,45
26577956,2023-01-11,Arlington Community Center,34
26577957,2023-01-11,Brookline Community Center,31
26577958,2023-01-11,Magee Community Center,27
26577959,2023-01-11,Ormsby Community Center,12
26577960,2023-01-11,Paulson Community Center,15
26577961,2023-01-11,West Penn Community Center,51
26577962,2023-01-10,Warrington Community Center,50
26577963,2023-01-10,Phillips Community Center,33
26577964,2023-01-10,Arlington Community Center,6
26577965,2023-01-10,Brookline Community Center,30
26577966,2023-01-10,Magee Community Center,57
26577967,2023-01-10,Paulson Community Center,25
26577968,2023-01-10,Ormsby Community Center,12
26577969,2023-01-10,West Penn Community Center,148
26577970,2023-01-09,Phillips Community Center,12
26577971,2023-01-09,Warrington Community Center,69
26577972,2023-01-09,Arlington Community Center,2
26577973,2023-01-09,Ammon Community Center,53
26577974,2023-01-09,Brookline Community Center,26
26577975,2023-01-09,Magee Community Center,51
26577976,2023-01-09,Ormsby Community Center,14
26577977,2023-01-09,Paulson Community Center,19
26577978,2023-01-09,West Penn Community Center,53
26577979,2023-01-07,Phillips Community Center,1
26577980,2023-01-07,Ammon Community Center,1
26577981,2023-01-07,Brookline Community Center,1
26577982,2023-01-07,West Penn Community Center,113
26577983,2023-01-06,Phillips Community Center,61
26577984,2023-01-06,Warrington Community Center,49
26577985,2023-01-06,Ammon Community Center,2
26577986,2023-01-06,Arlington Community Center,8
26577987,2023-01-06,Brookline Community Center,28
26577988,2023-01-06,Magee Community Center,46
26577989,2023-01-06,Paulson Community Center,24
26577990,2023-01-06,Ormsby Community Center,15
26577991,2023-01-06,West Penn Community Center,74
26577992,2023-01-05,Warrington Community Center,38
26577993,2023-01-05,Phillips Community Center,54
26577994,2023-01-05,Arlington Community Center,5
26577995,2023-01-05,Ammon Community Center,15
26577996,2023-01-05,Brookline Community Center,47
26577997,2023-01-05,Magee Community Center,37
26577998,2023-01-05,Ormsby Community Center,11
26577999,2023-01-05,Paulson Community Center,17
26578000,2023-01-05,West Penn Community Center,133
26578001,2023-01-04,Phillips Community Center,45
26578002,2023-01-04,Warrington Community Center,45
26578003,2023-01-04,Ammon Community Center,26
26578004,2023-01-04,Arlington Community Center,51
26578005,2023-01-04,Brookline Community Center,18
26578006,2023-01-04,Magee Community Center,45
26578007,2023-01-04,Paulson Community Center,13
26578008,2023-01-04,Ormsby Community Center,13
26578009,2023-01-04,West Penn Community Center,52
26578010,2023-01-03,Warrington Community Center,27
26578011,2023-01-03,Phillips Community Center,64
26578012,2023-01-03,Arlington Community Center,13
26578013,2023-01-03,Ammon Community Center,4
26578014,2023-01-03,Brookline Community Center,27
26578015,2023-01-03,Magee Community Center,49
26578016,2023-01-03,Ormsby Community Center,19
26578017,2023-01-03,Paulson Community Center,14
26578018,2023-01-03,West Penn Community Center,140
26578019,2022-12-30,Phillips Community Center,26
26578020,2022-12-30,Warrington Community Center,34
26578021,2022-12-30,Ammon Community Center,1
26578022,2022-12-30,Arlington Community Center,14
26578023,2022-12-30,Brookline Community Center,15
26578024,2022-12-30,Magee Community Center,20
26578025,2022-12-30,Paulson Community Center,12
26578026,2022-12-30,Ormsby Community Center,4
26578027,2022-12-30,West Penn Community Center,19
26578028,2022-12-29,Warrington Community Center,11
26578029,2022-12-29,Phillips Community Center,18
26578030,2022-12-29,Arlington Community Center,13
26578031,2022-12-29,Ammon Community Center,1
26578032,2022-12-29,Brookline Community Center,21
26578033,2022-12-29,Magee Community Center,27
26578034,2022-12-29,Ormsby Community Center,9
26578035,2022-12-29,Paulson Community Center,10
26578036,2022-12-29,West Penn Community Center,38
26578037,2022-12-28,Phillips Community Center,30
26578038,2022-12-28,Ammon Community Center,2
26578039,2022-12-28,Arlington Community Center,19
26578040,2022-12-28,Brookline Community Center,23
26578041,2022-12-28,Magee Community Center,47
26578042,2022-12-28,Paulson Community Center,8
26578043,2022-12-28,Ormsby Community Center,10
26578044,2022-12-28,West Penn Community Center,17
26578045,2022-12-27,Phillips Community Center,44
26578046,2022-12-27,Arlington Community Center,2
26578047,2022-12-27,Ammon Community Center,31
26578048,2022-12-27,Brookline Community Center,11
26578049,2022-12-27,Magee Community Center,34
26578050,2022-12-27,Ormsby Community Center,7
26578051,2022-12-27,West Penn Community Center,37
26578052,2022-12-22,Phillips Community Center,17
26578053,2022-12-22,Warrington Community Center,50
26578054,2022-12-22,Ammon Community Center,109
26578055,2022-12-22,Arlington Community Center,16
26578056,2022-12-22,Brookline Community Center,20
26578057,2022-12-22,Magee Community Center,48
26578058,2022-12-22,Ormsby Community Center,5
26578059,2022-12-22,Paulson Community Center,10
26578060,2022-12-22,West Penn Community Center,38
26578061,2022-12-21,Warrington Community Center,52
26578062,2022-12-21,Phillips Community Center,34
26578063,2022-12-21,Arlington Community Center,33
26578064,2022-12-21,Ammon Community Center,3
26578065,2022-12-21,Brookline Community Center,2
26578066,2022-12-21,Magee Community Center,35
26578067,2022-12-21,Paulson Community Center,21
26578068,2022-12-21,Ormsby Community Center,3
26578069,2022-12-21,West Penn Community Center,59
26578070,2022-12-20,Phillips Community Center,25
26578071,2022-12-20,Warrington Community Center,45
26578072,2022-12-20,Ammon Community Center,2
26578073,2022-12-20,Arlington Community Center,1
26578074,2022-12-20,Brookline Community Center,15
26578075,2022-12-20,Magee Community Center,34
26578076,2022-12-20,Paulson Community Center,25
26578077,2022-12-20,West Penn Community Center,46
26578078,2022-12-19,Warrington Community Center,41
26578079,2022-12-19,Phillips Community Center,44
26578080,2022-12-19,Arlington Community Center,5
26578081,2022-12-19,Ammon Community Center,57
26578082,2022-12-19,Brookline Community Center,3
26578083,2022-12-19,Magee Community Center,46
26578084,2022-12-19,Paulson Community Center,17
26578085,2022-12-19,Ormsby Community Center,10
26578086,2022-12-19,West Penn Community Center,51
26578087,2022-12-17,Phillips Community Center,3
26578088,2022-12-17,West Penn Community Center,112
26578089,2022-12-16,Phillips Community Center,37
26578090,2022-12-16,Warrington Community Center,34
26578091,2022-12-16,Ammon Community Center,1
26578092,2022-12-16,Brookline Community Center,6
26578093,2022-12-16,Magee Community Center,35
26578094,2022-12-16,Ormsby Community Center,28
26578095,2022-12-16,Paulson Community Center,21
26578096,2022-12-16,West Penn Community Center,36
26578097,2022-12-15,Warrington Community Center,54
26578098,2022-12-15,Phillips Community Center,47
26578099,2022-12-15,Ammon Community Center,56
26578100,2022-12-15,Brookline Community Center,19
26578101,2022-12-15,Magee Community Center,55
26578102,2022-12-15,Paulson Community Center,14
26578103,2022-12-15,Ormsby Community Center,13
26578104,2022-12-15,West Penn Community Center,90
26578105,2022-12-14,Phillips Community Center,36
26578106,2022-12-14,Warrington Community Center,63
26578107,2022-12-14,Ammon Community Center,1
26578108,2022-12-14,Arlington Community Center,32
26578109,2022-12-14,Brookline Community Center,12
26578110,2022-12-14,Magee Community Center,33
26578111,2022-12-14,Ormsby Community Center,11
26578112,2022-12-14,Paulson Community Center,17
26578113,2022-12-14,West Penn Community Center,47
26578114,2022-12-13,Warrington Community Center,52
26578115,2022-12-13,Phillips Community Center,16
26578116,2022-12-13,Arlington Community Center,4
26578117,2022-12-13,Ammon Community Center,3
26578118,2022-12-13,Brookline Community Center,10
26578119,2022-12-13,Magee Community Center,44
26578120,2022-12-13,Paulson Community Center,24
26578121,2022-12-13,Ormsby Community Center,14
26578122,2022-12-13,West Penn Community Center,66
26578123,2022-12-12,Phillips Community Center,30
26578124,2022-12-12,Warrington Community Center,48
26578125,2022-12-12,Ammon Community Center,36
26578126,2022-12-12,Arlington Community Center,11
26578127,2022-12-12,Brookline Community Center,5
26578128,2022-12-12,Magee Community Center,46
26578129,2022-12-12,Ormsby Community Center,12
26578130,2022-12-12,Paulson Community Center,9
26578131,2022-12-12,West Penn Community Center,59
26578132,2022-12-10,Phillips Community Center,5
26578133,2022-12-10,Brookline Community Center,6
26578134,2022-12-10,West Penn Community Center,93
26578135,2022-12-09,Phillips Community Center,43
26578136,2022-12-09,Warrington Community Center,52
26578137,2022-12-09,Ammon Community Center,26
26578138,2022-12-09,Brookline Community Center,21
26578139,2022-12-09,Magee Community Center,36
26578140,2022-12-09,Paulson Community Center,20
26578141,2022-12-09,Ormsby Community Center,20
26578142,2022-12-09,West Penn Community Center,58
26578143,2022-12-08,Warrington Community Center,54
26578144,2022-12-08,Phillips Community Center,30
26578145,2022-12-08,Ammon Community Center,1
26578146,2022-12-08,Brookline Community Center,37
26578147,2022-12-08,Magee Community Center,48
26578148,2022-12-08,Ormsby Community Center,7
26578149,2022-12-08,Paulson Community Center,14
26578150,2022-12-08,West Penn Community Center,39
26578151,2022-12-07,Phillips Community Center,46
26578152,2022-12-07,Warrington Community Center,59
26578153,2022-12-07,Ammon Community Center,12
26578154,2022-12-07,Arlington Community Center,27
26578155,2022-12-07,Brookline Community Center,36
26578156,2022-12-07,Magee Community Center,36
26578157,2022-12-07,Paulson Community Center,20
26578158,2022-12-07,Ormsby Community Center,9
26578159,2022-12-07,West Penn Community Center,56
26578160,2022-12-06,Warrington Community Center,45
26578161,2022-12-06,Phillips Community Center,49
26578162,2022-12-06,Ammon Community Center,3
26578163,2022-12-06,Brookline Community Center,36
26578164,2022-12-06,Magee Community Center,45
26578165,2022-12-06,Ormsby Community Center,17
26578166,2022-12-06,Paulson Community Center,21
26578167,2022-12-06,West Penn Community Center,61
26578168,2022-12-05,Phillips Community Center,32
26578169,2022-12-05,Warrington Community Center,42
26578170,2022-12-05,Ammon Community Center,30
26578171,2022-12-05,Arlington Community Center,7
26578172,2022-12-05,Brookline Community Center,30
26578173,2022-12-05,Magee Community Center,52
26578174,2022-12-05,Paulson Community Center,18
26578175,2022-12-05,Ormsby Community Center,9
26578176,2022-12-05,West Penn Community Center,42
26578177,2022-12-03,Phillips Community Center,13
26578178,2022-12-03,Brookline Community Center,2
26578179,2022-12-03,West Penn Community Center,112
26578180,2022-12-02,Phillips Community Center,39
26578181,2022-12-02,Warrington Community Center,36
26578182,2022-12-02,Ammon Community Center,22
26578183,2022-12-02,Brookline Community Center,23
26578184,2022-12-02,Magee Community Center,28
26578185,2022-12-02,Ormsby Community Center,13
26578186,2022-12-02,Paulson Community Center,19
26578187,2022-12-02,West Penn Community Center,40
26578188,2022-12-01,Warrington Community Center,68
26578189,2022-12-01,Phillips Community Center,20
26578190,2022-12-01,Ammon Community Center,3
26578191,2022-12-01,Arlington Community Center,1
26578192,2022-12-01,Brookline Community Center,38
26578193,2022-12-01,Magee Community Center,50
26578194,2022-12-01,Paulson Community Center,17
26578195,2022-12-01,Ormsby Community Center,8
26578196,2022-12-01,West Penn Community Center,78
26578197,2022-11-30,Phillips Community Center,24
26578198,2022-11-30,Warrington Community Center,53
26578199,2022-11-30,Arlington Community Center,25
26578200,2022-11-30,Ammon Community Center,26
26578201,2022-11-30,Brookline Community Center,26
26578202,2022-11-30,Magee Community Center,27
26578203,2022-11-30,Ormsby Community Center,14
26578204,2022-11-30,Paulson Community Center,15
26578205,2022-11-30,West Penn Community Center,62
26578206,2022-11-29,Warrington Community Center,61
26578207,2022-11-29,Phillips Community Center,53
26578208,2022-11-29,Brookline Community Center,26
26578209,2022-11-29,Magee Community Center,64
26578210,2022-11-29,Paulson Community Center,15
26578211,2022-11-29,Ormsby Community Center,10
26578212,2022-11-29,West Penn Community Center,37
26578213,2022-11-28,Phillips Community Center,27
26578214,2022-11-28,Warrington Community Center,38
26578215,2022-11-28,Arlington Community Center,12
26578216,2022-11-28,Brookline Community Center,30
26578217,2022-11-28,Magee Community Center,39
26578218,2022-11-28,Ormsby Community Center,14
26578219,2022-11-28,Paulson Community Center,5
26578220,2022-11-28,West Penn Community Center,58
26578221,2022-11-23,Warrington Community Center,70
26578222,2022-11-23,Phillips Community Center,31
26578223,2022-11-23,Arlington Community Center,1
26578224,2022-11-23,Ammon Community Center,26
26578225,2022-11-23,Brookline Community Center,24
26578226,2022-11-23,Magee Community Center,19
26578227,2022-11-23,Paulson Community Center,15
26578228,2022-11-23,Ormsby Community Center,6
26578229,2022-11-23,West Penn Community Center,37
26578230,2022-11-22,Phillips Community Center,48
26578231,2022-11-22,Warrington Community Center,62
26578232,2022-11-22,Ammon Community Center,22
26578233,2022-11-22,Brookline Community Center,25
26578234,2022-11-22,Jefferson Community Center,21
26578235,2022-11-22,Magee Community Center,50
26578236,2022-11-22,Ormsby Community Center,19
26578237,2022-11-22,Paulson Community Center,20
26578238,2022-11-22,West Penn Community Center,113
26578239,2022-11-21,Warrington Community Center,58
26578240,2022-11-21,Phillips Community Center,27
26578241,2022-11-21,Ammon Community Center,13
26578242,2022-11-21,Arlington Community Center,6
26578243,2022-11-21,Jefferson Community Center,29
26578244,2022-11-21,Brookline Community Center,28
26578245,2022-11-21,Magee Community Center,37
26578246,2022-11-21,Paulson Community Center,13
26578247,2022-11-21,Ormsby Community Center,8
26578248,2022-11-21,West Penn Community Center,56
26578249,2022-11-19,Phillips Community Center,16
26578250,2022-11-19,Brookline Community Center,4
26578251,2022-11-19,West Penn Community Center,14
26578252,2022-11-18,Phillips Community Center,52
26578253,2022-11-18,Warrington Community Center,20
26578254,2022-11-18,Arlington Community Center,17
26578255,2022-11-18,Ammon Community Center,1
26578256,2022-11-18,Brookline Community Center,15
26578257,2022-11-18,Jefferson Community Center,13
26578258,2022-11-18,Magee Community Center,24
26578259,2022-11-18,Ormsby Community Center,15
26578260,2022-11-18,Paulson Community Center,19
26578261,2022-11-18,West Penn Community Center,44
26578262,2022-11-17,Warrington Community Center,62
26578263,2022-11-17,Phillips Community Center,37
26578264,2022-11-17,Arlington Community Center,1
26578265,2022-11-17,Jefferson Community Center,1
26578266,2022-11-17,Brookline Community Center,40
26578267,2022-11-17,Magee Community Center,69
26578268,2022-11-17,Paulson Community Center,19
26578269,2022-11-17,Ormsby Community Center,10
26578270,2022-11-17,West Penn Community Center,145
26578271,2022-11-16,Phillips Community Center,51
26578272,2022-11-16,Warrington Community Center,42
26578273,2022-11-16,Arlington Community Center,52
26578274,2022-11-16,Ammon Community Center,4
26578275,2022-11-16,Brookline Community Center,33
26578276,2022-11-16,Magee Community Center,21
26578277,2022-11-16,Ormsby Community Center,15
26578278,2022-11-16,Paulson Community Center,15
26578279,2022-11-16,West Penn Community Center,2
26578280,2022-11-15,Warrington Community Center,57
26578281,2022-11-15,Phillips Community Center,54
26578282,2022-11-15,Ammon Community Center,2
26578283,2022-11-15,Brookline Community Center,31
26578284,2022-11-15,Magee Community Center,25
26578285,2022-11-15,Paulson Community Center,16
26578286,2022-11-15,Ormsby Community Center,10
26578287,2022-11-15,West Penn Community Center,200
26578288,2022-11-14,Phillips Community Center,41
26578289,2022-11-14,Warrington Community Center,66
26578290,2022-11-14,Ammon Community Center,4
26578291,2022-11-14,Arlington Community Center,15
26578292,2022-11-14,Brookline Community Center,27
26578293,2022-11-14,Magee Community Center,41
26578294,2022-11-14,Ormsby Community Center,12
26578295,2022-11-14,Paulson Community Center,12
26578296,2022-11-14,West Penn Community Center,61
26578297,2022-11-12,Phillips Community Center,5
26578298,2022-11-10,Phillips Community Center,30
26578299,2022-11-10,Warrington Community Center,84
26578300,2022-11-10,Arlington Community Center,2
26578301,2022-11-10,Ammon Community Center,3
26578302,2022-11-10,Brookline Community Center,48
26578303,2022-11-10,Paulson Community Center,14
26578304,2022-11-10,Ormsby Community Center,10
26578305,2022-11-10,West Penn Community Center,101
26578306,2022-11-09,Warrington Community Center,53
26578307,2022-11-09,Phillips Community Center,42
26578308,2022-11-09,Ammon Community Center,9
26578309,2022-11-09,Arlington Community Center,24
26578310,2022-11-09,Brookline Community Center,33
26578311,2022-11-09,Magee Community Center,23
26578312,2022-11-09,Ormsby Community Center,15
26578313,2022-11-09,Paulson Community Center,14
26578314,2022-11-09,West Penn Community Center,42
26578315,2022-11-08,Phillips Community Center,1
26578316,2022-11-08,Ammon Community Center,5
26578317,2022-11-08,Magee Community Center,30
26578318,2022-11-08,Ormsby Community Center,16
26578319,2022-11-07,Phillips Community Center,50
26578320,2022-11-07,Warrington Community Center,59
26578321,2022-11-07,Ammon Community Center,3
26578322,2022-11-07,Arlington Community Center,10
26578323,2022-11-07,Brookline Community Center,25
26578324,2022-11-07,Jefferson Community Center,16
26578325,2022-11-07,Magee Community Center,29
26578326,2022-11-07,Ormsby Community Center,11
26578327,2022-11-07,Paulson Community Center,17
26578328,2022-11-07,West Penn Community Center,21
26578329,2022-11-05,Phillips Community Center,4
26578330,2022-11-05,West Penn Community Center,17
26578331,2022-11-04,Phillips Community Center,50
26578332,2022-11-04,Warrington Community Center,35
26578333,2022-11-04,Arlington Community Center,25
26578334,2022-11-04,Ammon Community Center,3
26578335,2022-11-04,Jefferson Community Center,20
26578336,2022-11-04,Brookline Community Center,21
26578337,2022-11-04,Magee Community Center,21
26578338,2022-11-04,Paulson Community Center,17
26578339,2022-11-04,Ormsby Community Center,25
26578340,2022-11-04,West Penn Community Center,57
26578341,2022-11-03,Warrington Community Center,66
26578342,2022-11-03,Phillips Community Center,47
26578343,2022-11-03,Ammon Community Center,2
26578344,2022-11-03,Arlington Community Center,26
26578345,2022-11-03,Brookline Community Center,42
26578346,2022-11-03,Magee Community Center,25
26578347,2022-11-03,Ormsby Community Center,5
26578348,2022-11-03,Paulson Community Center,18
26578349,2022-11-03,West Penn Community Center,127
26578350,2022-11-02,Phillips Community Center,22
26578351,2022-11-02,Warrington Community Center,43
26578352,2022-11-02,Arlington Community Center,22
26578353,2022-11-02,Ammon Community Center,8
26578354,2022-11-02,Brookline Community Center,29
26578355,2022-11-02,Magee Community Center,26
26578356,2022-11-02,Paulson Community Center,17
26578357,2022-11-02,Ormsby Community Center,9
26578358,2022-11-02,West Penn Community Center,57
26578359,2022-11-01,Warrington Community Center,57
26578360,2022-11-01,Phillips Community Center,72
26578361,2022-11-01,Ammon Community Center,16
26578362,2022-11-01,Arlington Community Center,11
26578363,2022-11-01,Brookline Community Center,28
26578364,2022-11-01,Magee Community Center,23
26578365,2022-11-01,Ormsby Community Center,6
26578366,2022-11-01,Paulson Community Center,12
26578367,2022-11-01,West Penn Community Center,134
26578368,2022-10-31,Phillips Community Center,18
26578369,2022-10-31,Warrington Community Center,54
26578370,2022-10-31,Arlington Community Center,11
26578371,2022-10-31,Ammon Community Center,11
26578372,2022-10-31,Brookline Community Center,21
26578373,2022-10-31,Jefferson Community Center,12
26578374,2022-10-31,Magee Community Center,36
26578375,2022-10-31,Paulson Community Center,4
26578376,2022-10-31,Ormsby Community Center,5
26578377,2022-10-31,West Penn Community Center,64
26578378,2022-10-29,Phillips Community Center,15
26578379,2022-10-29,West Penn Community Center,59
26578380,2022-10-28,Phillips Community Center,53
26578381,2022-10-28,Warrington Community Center,48
26578382,2022-10-28,Ammon Community Center,8
26578383,2022-10-28,Arlington Community Center,21
26578384,2022-10-28,Brookline Community Center,21
26578385,2022-10-28,Magee Community Center,13
26578386,2022-10-28,Ormsby Community Center,14
26578387,2022-10-28,Paulson Community Center,21
26578388,2022-10-28,West Penn Community Center,63
26578389,2022-10-27,Warrington Community Center,51
26578390,2022-10-27,Phillips Community Center,43
26578391,2022-10-27,Arlington Community Center,3
26578392,2022-10-27,Ammon Community Center,6
26578393,2022-10-27,Brookline Community Center,31
26578394,2022-10-27,Magee Community Center,11
26578395,2022-10-27,Paulson Community Center,19
26578396,2022-10-27,Ormsby Community Center,5
26578397,2022-10-27,West Penn Community Center,122
26578398,2022-10-26,Phillips Community Center,36
26578399,2022-10-26,Warrington Community Center,31
26578400,2022-10-26,Ammon Community Center,5
26578401,2022-10-26,Arlington Community Center,8
26578402,2022-10-26,Brookline Community Center,15
26578403,2022-10-26,Magee Community Center,20
26578404,2022-10-26,Ormsby Community Center,4
26578405,2022-10-26,Paulson Community Center,10
26578406,2022-10-26,West Penn Community Center,51
26578407,2022-10-25,Warrington Community Center,48
26578408,2022-10-25,Phillips Community Center,79
26578409,2022-10-25,Arlington Community Center,2
26578410,2022-10-25,Ammon Community Center,5
26578411,2022-10-25,Brookline Community Center,28
26578412,2022-10-25,Magee Community Center,31
26578413,2022-10-25,Paulson Community Center,21
26578414,2022-10-25,Ormsby Community Center,11
26578415,2022-10-25,West Penn Community Center,144
26578416,2022-10-24,Phillips Community Center,30
26578417,2022-10-24,Warrington Community Center,51
26578418,2022-10-24,Ammon Community Center,9
26578419,2022-10-24,Arlington Community Center,15
26578420,2022-10-24,Brookline Community Center,22
26578421,2022-10-24,Jefferson Community Center,1
26578422,2022-10-24,Magee Community Center,25
26578423,2022-10-24,Ormsby Community Center,11
26578424,2022-10-24,Paulson Community Center,18
26578425,2022-10-24,West Penn Community Center,68
26578426,2022-10-22,West Penn Community Center,11
26578427,2022-10-21,Warrington Community Center,39
26578428,2022-10-21,Phillips Community Center,20
26578429,2022-10-21,Ammon Community Center,5
26578430,2022-10-21,Brookline Community Center,16
26578431,2022-10-21,Magee Community Center,32
26578432,2022-10-21,Paulson Community Center,18
26578433,2022-10-21,Ormsby Community Center,19
26578434,2022-10-21,West Penn Community Center,27
26578435,2022-10-20,Phillips Community Center,74
26578436,2022-10-20,Warrington Community Center,15
26578437,2022-10-20,Ammon Community Center,4
26578438,2022-10-20,Arlington Community Center,12
26578439,2022-10-20,Brookline Community Center,40
26578440,2022-10-20,Magee Community Center,16
26578441,2022-10-20,Ormsby Community Center,6
26578442,2022-10-20,Paulson Community Center,35
26578443,2022-10-20,West Penn Community Center,119
26578444,2022-10-19,Warrington Community Center,48
26578445,2022-10-19,Phillips Community Center,28
26578446,2022-10-19,Arlington Community Center,13
26578447,2022-10-19,Ammon Community Center,5
26578448,2022-10-19,Brookline Community Center,13
26578449,2022-10-19,Magee Community Center,21
26578450,2022-10-19,Paulson Community Center,6
26578451,2022-10-19,Ormsby Community Center,14
26578452,2022-10-19,West Penn Community Center,50
26578453,2022-10-18,Phillips Community Center,64
26578454,2022-10-18,Warrington Community Center,55
26578455,2022-10-18,Ammon Community Center,47
26578456,2022-10-18,Arlington Community Center,7
26578457,2022-10-18,Brookline Community Center,28
26578458,2022-10-18,Magee Community Center,17
26578459,2022-10-18,Ormsby Community Center,9
26578460,2022-10-18,Paulson Community Center,11
26578461,2022-10-18,West Penn Community Center,124
26578462,2022-10-17,Warrington Community Center,56
26578463,2022-10-17,Phillips Community Center,52
26578464,2022-10-17,Arlington Community Center,10
